id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
1inch,88,1INCH,1inch Network,1029227794.1869363000000000,,242710377.1864520396477704,8877298.8199789880543990,0.2358179389997790,0.7177231827714655,0.2343139929057805,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
loopring,89,LRC,Loopring,1331547704.5400410000000000,1374513896.0000000000000000,237052084.6882289655851201,1666683.8954494479993884,0.1780274817642484,0.4843031348307104,0.1782041158995565,https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f
singularitynet,90,AGIX,SingularityNET,1232684305.8849297000000000,2000000000.0000000000000000,232396270.3400933325425504,1585062.4944218564419726,0.1885286193963983,7.4662951454056490,0.1824784296308088,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285
enjin-coin,91,ENJ,Enjin Coin,1000000000.0000000000000000,1000000000.0000000000000000,231688793.3982486000000000,1396297.1948233941263252,0.2316887933982486,1.5719837232094912,0.2312508814805793,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
helium,92,HNT,Helium,143934820.8303076600000000,223000000.0000000000000000,223386941.6382685707883645,180624.7130757838831909,1.5520006927415514,1.7985376261119719,1.5467150376538936,https://explorer.helium.com/
qtum,93,QTUM,Qtum,104755842.0000000000000000,107822406.0000000000000000,221232835.9132456861065258,5002029.8553653061574164,2.1118901980974549,2.5181515431107646,2.1016716254077737,https://qtum.info/
nem,94,XEM,NEM,8999999999.0000000000000000,8999999999.0000000000000000,216913233.4420280296148745,1716627.1472700171310763,0.0241014703851255,0.6354666864420523,0.0241294817248154,http://nembex.nem.ninja/
celo,95,CELO,Celo,511790944.0000000000000000,1000000000.0000000000000000,215925240.3343279260055424,1451096.9205217422220605,0.4219012525831796,2.8420735374410153,0.4229169667370058,https://explorer.celo.org/blocks
fetch,96,FET,Fetch.ai,818523496.6209521000000000,,212851327.5471016086118471,50592185.9187262380773208,0.2600430267741848,12.8863295814296303,0.2492195143456451,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
akash-network,97,AKT,Akash Network,217817349.8483820000000000,388539008.0000000000000000,209730373.7169978266820671,249298.1494551498770257,0.9628726722778817,2.1840788493576319,0.9589779738720852,https://akash.bigdipper.live/
mask-network,98,MASK,Mask Network,82112500.0000000000000000,100000000.0000000000000000,207786257.4981850734600000,24099585.1827557075820280,2.5305070177888272,-0.3334106610148159,2.5315268354752807,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074
decred,99,DCR,Decred,15449874.2522082500000000,21000000.0000000000000000,200400622.4534020728145490,376268.3906193970599674,12.9710196459857153,-2.0368178136567387,13.2268645826340377,https://mainnet.decred.org/
ocean-protocol,100,OCEAN,Ocean Protocol,613099140.9978136000000000,1410000000.0000000000000000,196974630.0059936543921532,4229428.3572748566156429,0.3212769629483074,2.8013150924959596,0.3188181195311461,https://etherscan.io/token/0x7AFeBBB46fDb47ed17b22ed075Cde2447694fB9e
